Key,english



emptyCanGOI, "Empty Can"
emptyCanGOIDesc, "Emty Can is used for crafting canned food."

cannedTomatoSauceGOI, "Canned Tomato Sauce"
cannedTomatoSauceGOIDesc, "Canned Tomato Sauce is useful for cooking."

cannedPeachesGOI, "Canned Peaches"
cannedPeachesGOIDesc, "Canned Peaches is useful for cooking."

cannedCornGOI, "Canned Corn"
cannedCornGOIDesc, "Canned Corn is useful for cooking."

cannedBeansGOI, "Canned Peas"
cannedBeansGOIDesc, "Canned Peas is useful for cooking."

cannedSoyBeansGOI, "Canned Soy Beans"
cannedSoyBeansGOIDesc, "Canned Soy Beans is useful for cooking."



resourceNutsBoltsGOI, "Nuts and Bolts"
resourceNutsBoltsGOIDesc, "handy stuff for fasten thing togehter."

resourceIronPlateGOI, "Iron Plate"
resourceIronPlateGOIDesc, "Iron Plate is useful for makikng e.g.'Water Fillter' for the 'Dew Collector'"

resourcePlasticBoardGOI, "Plastic Sheet"
resourcePlasticBoardGOIDesc, "a sturdy Plastic Sheet."
